case_id,phase_b_base_scalar_hex,a_scalar_hex,b_scalar_hex,seed_x,seed_y,expected_x,expected_y,actual_x,actual_y,tail13,tail14,tail15,status
20,668f7b150a88310a9abf34993ea2e4b222ac44745243e95948d800364c004b72,41ff3d33c01c34e2c47af6fc392ce0648c84815f9ecf568352120918bf2750a5,84c713701fbaad9a4af24e567fde1b189757fa65230154400715f9847026fd5e,aa32ff19da6f0212c0ec974879ce6c579aeac5be669e163f182c84a4864c16d1,10ad32cc3f96eba45f628f0170fde452166381d66882b2ca050a1b833ce7cfe7,89e89b2109824a050f0f46071d50d3419b904efcb31ff21596dc73d029856a9a,7aed5eee0069e0da97adaf8514f91482814937e25a8f023c658a584a4def0423,89e89b2109824a050f0f46071d50d3419b904efcb31ff21596dc73d029856a9a,7aed5eee0069e0da97adaf8514f91482814937e25a8f023c658a584a4def0423,8122,4976,33991,PASS
21,73afbbba3d56faca21bc6f0e8c18dae880f084f22227f047f1deee1b49291de6,bb1bac6f72092957fc72b14fd60b38a3e834562a9c3e3247dbff7c561e95a10c,e0ee05f931243f3ade0ba59394c0052cedbe303fc9fcef1a38d89c3e5588b46f,076239a8ecb401394c1ee02b7f6fd8ec83c252c8906291e3cb93c9f0b80e54f4,f26fca4b38e8fbc1244b3d761e1734455d957631eab8365d55450c0418e1fb41,d25a467bb0281f6da33c26227c9adc1e5b72b292972c30d9e6a7ae760c578350,3958a62f81a1d7c68aa6bb4af4642ef73cf1658751a64bc0c1f1437821f1a175,d25a467bb0281f6da33c26227c9adc1e5b72b292972c30d9e6a7ae760c578350,3958a62f81a1d7c68aa6bb4af4642ef73cf1658751a64bc0c1f1437821f1a175,12580,1529,57582,PASS
22,fa369c511190697d531c7b117325c505267d888f9ab406081c88114d144a742b,83456775044633cb1987d05879be89dedd72bbe52e9f925d616758b055164520,e5cb3e8209548690d3e316714aa2f2d204c22f33d0ed4a51d611925254f86676,ae171c9026498d5e8faec6340ff5789d92504c187d4473a773314b5559d74493,91a277fbce2b1d19c064c96ee1af228ee90ddf70ae974019fac8e4f76a143b4c,c20b49f45287c1be2ea3c040236b85d38759d2eb0f842c23be56e6a1fb0bf8f2,457757b06e884ec8032709b6951609528646d3fa78b91b4405eedb81501e99fa,c20b49f45287c1be2ea3c040236b85d38759d2eb0f842c23be56e6a1fb0bf8f2,457757b06e884ec8032709b6951609528646d3fa78b91b4405eedb81501e99fa,2388,16002,58827,PASS
23,4b802f2b19ed968f599e3138f357b80c9d022b2ddbe7ce89f654d6504388d2ee,fa3f32e5a6a9a2af43986216db865c91ef66fd7742cb51d351c34eb755ba51d3,ca5e48f3d8ed26350266c4f90fbdfd573b2c9c2d303f66a69a2ad495abceacd2,ce7455dc3d57e0cd4941e63143c70da1ead0c26be3d187916554af6f3a942c11,d101d320072f4025f6fef52f0b6b1c0fd97a02cfeced1528a13ff183512cb374,d569dbceb07030dafb395c2aeefc977df1223f41db0221c0ff232bcfe99a071a,82b9c397a72e3c840540eebc52328e38b00d89c362c095457166adefe93f973c,d569dbceb07030dafb395c2aeefc977df1223f41db0221c0ff232bcfe99a071a,82b9c397a72e3c840540eebc52328e38b00d89c362c095457166adefe93f973c,55533,18675,51806,PASS
24,4e63af4264cac86f89b2880f4feb6b1920c686c897a84172609846cb35e947bf,8f3e67ae8060bee9a519a0662f61839e8db07cf4bbe2f0a9452191360d2af57c,becc080e4ffdbfd97868621a08c04cb69bdb1435162991d2bcdc02c48fe39940,b2bdb987221caa744d4f870714eb758674ec0bbc1060c8e0fb945c7f5ba69208,ed27fc69d6a4cbc4e61ff6dc679eea73f78b44d257883b4086ae4b5f59ff87c1,16088a4d8e378186096ca037f1fa9449bb36e964bdc60e035caf1ff26890a2c5,6aab24ab26c2b2b087a020d32377a0dd0e3732fc189c33b9bae8288335531088,16088a4d8e378186096ca037f1fa9449bb36e964bdc60e035caf1ff26890a2c5,6aab24ab26c2b2b087a020d32377a0dd0e3732fc189c33b9bae8288335531088,20477,2062,48844,PASS
25,905c67b87de3212404a786e687317a361b60cbd426e267689a611cf9b110f1ea,9a8a8c6e1b9a2568952cc1b0d316b852c4cf64b8e71cc34f3290c6aed37a7918,bb4d1764232b89d394e6a05cab8e20fbe5d061b3b8b94dc91ddb94321640f5d8,813e06b556f63766ab0c0ef24dfc1668934b952bad09dea009a6adbce54f4eb7,8dea7e4293a061e45c2c4c744cc5d9077b9724993af7b6a3975adb5d09bb2b2a,c9537d843472b50ce43be6b05c3459a053f1287bcedaf663b50dc59751ddd6cd,56722e6950f3cb37988d91b0d5b5015f224bb0b3aca0cf0bda6f151feff194ce,c9537d843472b50ce43be6b05c3459a053f1287bcedaf663b50dc59751ddd6cd,56722e6950f3cb37988d91b0d5b5015f224bb0b3aca0cf0bda6f151feff194ce,9003,5988,47949,PASS
26,72c149827d8373ee313357e9f1a4c319da528934e3b7716eeff30480f3ccfdc8,f7b6386b5cccd690979a7737bb31a8452f582ccc7a0151adbd19c9290e54ba5f,18f05599d07b3c6b6df70b9cebb498ebdd4893987d6b60282bfd0700d207d312,62e820e556ad9ae5507b16383876c6db5b46aa7b0ccc8d55aff697d670de898d,ee6ae6761e6a3cf47c1f80984becc9e05be4ce6e1aef1a946071075b71a5c25d,098b6bb4ef37cb2bf047de0607d1b9f718f1bb95c780e183d688577e54f8a35a,d948b896b0f4aca378694a7cfcd717becf47424c318f68b736fb45a81f62195c,098b6bb4ef37cb2bf047de0607d1b9f718f1bb95c780e183d688577e54f8a35a,d948b896b0f4aca378694a7cfcd717becf47424c318f68b736fb45a81f62195c,53371,21913,6384,PASS
27,7132dac9cda888b903205d9d459c54e99c375e16defe2d8b30aef1b59b0c1f7c,beb98d21e2f623b4a46d112cb8339cb9fd330d276d53aa9182fc900f56531d97,60f5238dc4fd5ab426b7c4a58c335c835637770d095ebad7158e5233d309fe34,408a8d8967ad6bcceb7ebb6189afefff12c24b5d2c33ca3c08b78fcacd403de0,3b761fa6378cc42ea28fb66ff1d8171d4acd3557fd6313a2cdcbce47e1caecf3,4f3e0a3d462f1c0f21e72f986f8a0f6f0d5ac95104c4b7291be38f51e3e21922,9bb950658d65e7d282256c544fcb2763a977b6850b84e76e3bff3bd77d7ca92f,4f3e0a3d462f1c0f21e72f986f8a0f6f0d5ac95104c4b7291be38f51e3e21922,9bb950658d65e7d282256c544fcb2763a977b6850b84e76e3bff3bd77d7ca92f,50429,9101,24821,PASS
28,b03db72433ddf8c34db8fc9d3d0d3f168814e15f213a9c6a5250a7dc8e9fe1e7,b5b5e8a894bfdc745666bf58f9339b12e3a39895de417f3b8124237314b4a23c,308576091320d77425047d03714ae2c3028e16e493b82fa3ab1c5408092b341b,1700df14958304b0c631c7fb21d7b1b8522adf4b32aec868c4d674739eb087af,f00a9c2d928cc4bde43fa554a82aa56e4bcd9a7ee0111becacc70a96206baa1a,8006a7f7924699b1570478c26cb48ad3ade56ba7e3ee595fd873c2743fd7ef6f,e15a0ab78822289fb3b9222e55a3f80ba352192e5892165aa981b4c277a0b315,8006a7f7924699b1570478c26cb48ad3ade56ba7e3ee595fd873c2743fd7ef6f,e15a0ab78822289fb3b9222e55a3f80ba352192e5892165aa981b4c277a0b315,4896,30217,12421,PASS
29,8171924c41c07c7fae523621530161fd970456aa17848a4df9bcf9685c6a5f96,06eb70563bd645c2ad0734a74c5ce4b2164a607ce2e5b925e076e2df6d11e9c4,d35f8e54f6d0a2e37088a5377d1e26fb9f87eead1d9469002cb29c26ab3ae7ea,3c7f75d8856c66625a7644be7df9372c7654644862d623d58c8dd272e5a75528,c5e7dff3d2600b41ad9d75a91f4a09475f562a102e4ffbbc2cd3a879ddf5f916,011d56176c7c8335884930aa0782af2983c6bc155271164c1f5c1024f9230359,698ec09fde935be34f93ccc4c4b0b1a474131466d0b6258cfd68116c961f04d8,011d56176c7c8335884930aa0782af2983c6bc155271164c1f5c1024f9230359,698ec09fde935be34f93ccc4c4b0b1a474131466d0b6258cfd68116c961f04d8,63184,36436,54111,PASS
